Total reads,Lowest energy,Total entropy,Time
200,-118.70187910533663,15.505309520800356,1482435.6
400,-123.09395336734946,15.153179313368469,2995228.5
600,-128.05439933584665,14.81658764525949,4316153.5
800,-132.9513930955821,13.653179313368469,5762049.3
1000,-126.30844280073613,17.4644574378276,7207568.5
1200,-125.83421035858167,18.275735562286734,8664344.8
1400,-127.13610350179219,16.31658764525949,10179281.5
1600,-131.4207700311322,16.65317931336847,11592683.3
1800,-127.30352330301415,15.153179313368469,13007034.7
2000,-131.6818750824874,16.31658764525949,14389512.7
200,-120.9061395202004,15.505309520800356,1483800.2
400,-125.00739369479955,19.775735562286734,2867904.8
600,-127.07394934450005,14.341901188909336,4291811.8
800,-124.30313327993575,17.341901188909336,5762261.5
1000,-129.84443937710418,18.275735562286734,7170148.0
1200,-129.6911960726181,17.341901188909336,8619212.2
1400,-131.03847077344537,19.775735562286734,10165359.1
1600,-136.7932942844915,15.841901188909336,11448662.2
1800,-136.6556535104462,16.65317931336847,12914755.7
2000,-133.65565351044575,16.65317931336847,14361441.4
200,-125.60548043734187,14.81658764525949,1466315.1
400,-119.42122404532776,14.005309520800356,2855441.1
600,-126.47806868181907,17.12786576971862,4312708.8
800,-125.8803719623551,16.775735562286734,5712662.0
1000,-121.02824175492292,12.734883479313979,7241627.3
1200,-130.8697529207541,16.423605354854846,9105938.9
1400,-131.68103104521293,19.775735562286734,10787642.8
1600,-132.3390658651861,16.65317931336847,11680454.6
1800,-134.29821378221342,18.15317931336847,13105797.6
2000,-128.589941898019,16.31658764525949,14297769.4
